meter,hour,median,scale
N2,0,17.500000,6.300964
N2,1,16.147500,4.668643
N2,2,14.604000,5.569125
N2,3,14.768500,5.427168
N2,4,22.912000,4.077094
N2,5,36.978500,9.191994
N2,6,48.279500,9.825056
N2,7,60.934000,14.084507
N2,8,73.102000,9.275019
N2,9,79.788000,14.266864
N2,10,94.791000,10.200890
N2,11,110.500000,17.049666
N2,12,119.015000,9.332839
N2,13,115.875000,13.713862
N2,14,112.500000,14.825797
N2,15,112.425000,16.664196
N2,16,118.105000,25.767235
N2,17,119.015000,36.046701
N2,18,117.700000,33.725723
N2,19,108.085000,16.397331
N2,20,95.000000,12.231282
N2,21,60.227000,12.808006
N2,22,41.429000,9.268347
N2,23,27.750000,4.818384
N8,0,7.000000,2.965159
N8,1,7.099750,3.484062
N8,2,7.000000,4.631672
N8,3,7.000000,3.520645
N8,4,11.883000,5.189029
N8,5,19.108500,9.991846
N8,6,25.396000,12.852483
N8,7,31.750000,15.937732
N8,8,39.352000,21.304670
N8,9,36.812500,11.538918
N8,10,43.288000,12.955523
N8,11,50.500000,14.825797
N8,12,56.167000,6.727947
N8,13,59.543500,15.555226
N8,14,61.750000,24.462565
N8,15,65.418000,26.130467
N8,16,61.865000,23.958488
N8,17,60.947500,18.938473
N8,18,63.750000,16.679021
N8,19,58.345000,21.500371
N8,20,44.250000,14.455152
N8,21,26.174500,10.164566
N8,22,17.225000,4.650852
N8,23,10.500000,4.818384
N9,0,12.250000,7.412898
N9,1,8.741000,3.704596
N9,2,7.915250,2.409192
N9,3,8.593000,1.761305
N9,4,10.250000,2.965159
N9,5,16.050500,6.034099
N9,6,22.419000,10.051149
N9,7,28.434000,16.679021
N9,8,33.000000,22.550037
N9,9,41.209000,15.221090
N9,10,51.063500,5.891772
N9,11,61.250000,8.154188
N9,12,65.105000,6.262417
N9,13,59.972000,5.161601
N9,14,52.500000,10.007413
N9,15,51.631000,11.536694
N9,16,49.750000,14.991846
N9,17,52.285500,22.378058
N9,18,54.765000,21.249815
N9,19,50.331000,12.530764
N9,20,42.750000,15.567087
N9,21,30.851500,17.547072
N9,22,23.032500,10.985915
N9,23,15.000000,2.594514
